Qty-1,Part References,Value,Package,Part Num,Description,Datasheet,Digi-Key,Mouser,Aliexpress,TaoBao,XREF
1,"R5, R20(DNP)",0R,R0603,***PART# 'R0603_510R_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
0,"R19(DNP)",0R,R0603,***PART# 'R06030R_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
1,"R16",1M,R0603,***PART# 'R0603_1M_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
2,"D3, D4",1N5819HW,SOD-123,***PART# '1N5819HW' NOT FOUND***,*,*,*,*,*,*,*
1,"R11",1k,R0603,***PART# 'R0603_1K_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
0,"R8(DNP)",1k5,R0603,***PART# 'R0603_1K5_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
2,"C19, C20",1u,C0603,***PART# 'C0603_1U_X7R_10%_CER_6V3' NOT FOUND***,*,*,*,*,*,*,*
2,"C11, C14",2u2,C0603,***PART# 'C0603_2U2_X7R_10%_CER_6V3' NOT FOUND***,*,*,*,*,*,*,*
3,"C6, C8, C16",4u7,C0603,***PART# 'C0603_4U7_X7R_10%_CER_6V3' NOT FOUND***,*,*,*,*,*,*,*
2,"C2, C3",6p8,C0603,C0603_6P8_NP0_5%_CER_50V,REF9,*,*,*,*,*,*
2,"R21, R22",10k,R0603,***PART# 'R0603_10K_0.1%_125MW' NOT FOUND***,*,*,*,*,*,*,*
2,"R6, R13",10k,R0603,***PART# 'R0603_10K_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
1,"R18",10k,R0603,***PART# 'R0603_15K_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
1,"C1",10u,C0603,***PART# 'C0603_10U_X7R_10%_CER_6V3' NOT FOUND***,*,*,*,*,*,*,*
1,"R17",15k,R0603,***PART# 'R0603_15K_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
2,"C4, C5",20p,C0603,C0603_20P_NP0_5%_CER_50V,REF6,*,*,*,*,*,*
2,"R9, R10",22R,R0603,***PART# 'R0603_22R_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
3,"R1, R4, R7",100k,R0603,***PART# 'R0603_100K_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
8,"C7, C9, C10, C12, C13, C15, C17, C18",100n,C0603,C0603_100N_X7R_10%_CER_50V,REF4,*,*,*,*,*,*
5,"R15, R2, R12, R3, R14",560R,R0603,***PART# 'R0603_510R_5%_125MW' NOT FOUND***,*,*,*,*,*,*,*
1,"D2",1616RGB,1616RGB,***PART# 'LED1616-RGB' NOT FOUND***,*,*,*,*,*,*,*
1,"J4",47309-2851,47309-2851,***PART# '47309-2851' NOT FOUND***,*,*,*,*,*,*,*
0,"U2(DNP)",AP2112K3.3-TRG1,SOT23-5,***PART# 'AP2112K3.3-TRG1' NOT FOUND***,*,*,*,*,*,*,*
1,"U1",AP2114HA-3.3TRG1,SOT223,AP2114HA3.3-TRG1,REF3,*,*,*,*,*,*
1,"L2",BLM18BA470SN1D,FB0603,***PART# 'BLM18BA470SN1D' NOT FOUND***,*,*,*,*,*,*,*
1,"L1",FBMH1608HM471-T,FB0603,FBMH1608HM471-T,REF11,*,*,*,*,*,*
1,"Y1",FC-12M,FC-12M,***PART# 'FC-12M 32.7680KA-A3' NOT FOUND***,*,*,*,*,*,*,*
1,"D1",GREEN,LED0603,LED0603-GREEN,REF13,*,*,*,*,*,*
1,"Q1",IRLML6402,SOT323,***PART# 'IRLM6402' NOT FOUND***,*,*,*,*,*,*,*
1,"L3",LQW2BASR47J00L,FB0805,***PART# 'LQW2BASR47J00L' NOT FOUND***,*,*,*,*,*,*,*
1,"U5",MCP73812T-420I/OT,SOT23-5,***PART# 'MCP73812T-420I/OT' NOT FOUND***,*,*,*,*,*,*,*
2,"J1, J2",MH20-1,MH20-1-0.1,MH20-1-0.1,REF15,*,*,*,*,*,*
1,"J3",MH_RA4-1,MH_RA4-1-0.1,MH_RA4-1-0.1,REF16,*,*,*,*,*,*
1,"Y2",NX3225GD,CRYSTAL_32X25_2P,NX3225GD-8MHZ-STD-CRA-3,REF18,*,*,*,*,*,*
2,"S1, S2",SKSGACE010,SKSGACE010,SKSGACE010,REF26,*,*,*,*,*,*
1,"U3",STM32F405RGT6,LQFP64,STM32F405RGT6,REF27,*,*,*,*,*,*
1,"U4",SY6280,SOT23-5,SY6280AAC,REF28,*,*,*,*,*,*
1,"J5",U02-BFD3111B0-009,U02-BFD3111B0-009,***PART# 'U02-BFD3111B0-009' NOT FOUND***,*,*,*,*,*,*,*
